num,title,download_url,description,pubdate,url,full_url
827,All the King's Horses,https://www.thisamericanlife.org/sites/default/files/audio/827/8ufKQuat_Eaif8xAXUm17ip_y1xCjgbfwbC3GDrXTvo/827.mp3,The things we break and the ones we can't fix.,"Fri, 22 Mar 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/827,https://www.thisamericanlife.org/827/all-the-kings-horses
826,Unprepared for What Has Already Happened,https://www.thisamericanlife.org/sites/default/files/audio/826/FKdC7Hxiy-7T45_Zc38pAeNTWiX0FwiO5mgq2FrR7Ho/826.mp3,People waking up to the fact that the world has suddenly changed.,"Fri, 15 Mar 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/826,https://www.thisamericanlife.org/826/unprepared-for-what-has-already-happened
825,Yousef’s Week,https://www.thisamericanlife.org/sites/default/files/audio/825/b7TFyE3Z52phRm3UICpZS4goMGV9NDRIqEYLOrGx_9Y/825.mp3,"A series of phone calls to a man in Gaza named Yousef Hammash, between early December and now. He talks about what he and his family are experiencing, sometimes as they are experiencing it.","Fri, 01 Mar 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/825,https://www.thisamericanlife.org/825/yousef
824,Family Meeting,https://www.thisamericanlife.org/sites/default/files/audio/824/tgucbMVKDrwcKDR3fmDD7YWsOnYv1hnH7CKkQVNrKdU/824.mp3,Your mother and I have something we want to talk with you about.,"Fri, 23 Feb 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/824,https://www.thisamericanlife.org/824/family-meeting
823,The Question Trap,https://www.thisamericanlife.org/sites/default/files/audio/823/TQkq7YsPYCjgUA_TkZNsfuYmDaepZT2r8DSlTTNf0u0/823.mp3,An investigation of when and why people ask loaded questions that are a proxy for something else.,"Fri, 02 Feb 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/823,https://www.thisamericanlife.org/823/the-question-trap
822,The Words to Say It,https://www.thisamericanlife.org/sites/default/files/audio/822/KK8hozWKStRe5YYF712MN-7lO_lt7t_c3WZLoOHplgY/822.mp3,What it means to have words—and to lose them.,"Fri, 26 Jan 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/822,https://www.thisamericanlife.org/822/the-words-to-say-it
821,Embrace the Suck,https://www.thisamericanlife.org/sites/default/files/audio/821/QqPif4FItuIJBF-98XXNPRQQajTl6E4N1o2EgCTV2I8/821.mp3,People finding themselves in situations that are worse than they thought and deciding to really go with it.,"Fri, 19 Jan 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/821,https://www.thisamericanlife.org/821/embrace-the-suck
820,It Wouldn’t Be Make-Believe If You’d Believe In Me,https://www.thisamericanlife.org/sites/default/files/audio/820/wAyNXRIrVlxNFA9l4a-M9HqOBpvHoUeQ1HGs7Vx2_rs/820.mp3,A major political party in a major swing state bets on a new leader: a total political outsider. How does that work out for them?,"Fri, 22 Dec 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/820,https://www.thisamericanlife.org/820/believe-in-me
819,Yousef’s Week,https://www.thisamericanlife.org/sites/default/files/audio/819/PTgaE8n2GQWfB7w8lFYcnlUOrKovVnM3GCq36yWPV3Y/819.mp3,A series of conversations with a man in Gaza over the course of one week.,"Wed, 20 Dec 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/819,https://www.thisamericanlife.org/819/yousefs-week
818,Stand Clear of the Closing Doors,https://www.thisamericanlife.org/sites/default/files/audio/818/mMyisTIXtHznQrZQ96ZzU2-V2cfxsVsZF7R0svK_nBE/818.mp3,"In the last year and a half, New York City has scrambled to try and provide shelter and services to over 150,000 migrants. We take a look at how that’s going.","Fri, 15 Dec 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/818,https://www.thisamericanlife.org/818/stand-clear-of-the-closing-doors
817,The Cavalry Is Not Coming,https://www.thisamericanlife.org/sites/default/files/audio/817/M8_Y7B9lX0IF1PvLbF2ZMmzCexd-EDrjy8c61V1tmVE/817.mp3,"When you realize that help is not on the way, what do you do next?","Fri, 01 Dec 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/817,https://www.thisamericanlife.org/817/the-cavalry-is-not-coming
816,Poultry Slam,https://www.thisamericanlife.org/sites/default/files/audio/816/1FxPlvN4fzd537cBRw2RChcYIr6mTAUJca4ZCeJvuWo/816.mp3,"During the highest turkey consumption period of the year, we bring you a This American Life tradition: stories of turkeys, chickens, geese, ducks, fowl of all kinds—real and imagined—and their mysterious hold over us.","Fri, 24 Nov 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/816,https://www.thisamericanlife.org/816/poultry-slam
815,How I Learned to Shave,https://www.thisamericanlife.org/sites/default/files/audio/815/hXzlb30wubHtvoZRJQFg20J1OPm9gpY99iW3oUuWQxQ/815.mp3,"Things our dads taught us, whether they intended to or not.","Fri, 17 Nov 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/815,https://www.thisamericanlife.org/815/how-i-learned-to-shave
814,Parents Are People,https://www.thisamericanlife.org/sites/default/files/audio/814/8uAA9s6tkoY5B8YB5lPx1DuYTu7Sw4qZLwUmRb-bEKY/814.mp3,What happens when you realize the people in charge don’t have the answers.,"Fri, 10 Nov 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/814,https://www.thisamericanlife.org/814/parents-are-people
813,Is That What I Look Like?,https://www.thisamericanlife.org/sites/default/files/audio/813/oA5nhp9u-V_34aOEbzuJP-CT0xSbkoHTnYcE1NeKBfc/813.mp3,"You've been seeing yourself, getting to know what you look like, your whole life. So why does it often take an outsider to see things about you that are obvious, and set you straight?","Fri, 03 Nov 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/813,https://www.thisamericanlife.org/813/is-that-what-i-look-like
812,The Bear at the End of the Tunnel,https://www.thisamericanlife.org/sites/default/files/audio/812/OGCslt_hTjrPWYjrsqsg6n1tb6ESdOrTcsnGuMo6ep0/812.mp3,"People who have a good, long time to think about what they’re doing, look hard at what’s ahead of them, and decide to keep moving forward anyway.","Fri, 20 Oct 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/812,https://www.thisamericanlife.org/812/the-bear-at-the-end-of-the-tunnel
811,The One Place I Can’t Go,https://www.thisamericanlife.org/sites/default/files/audio/811/3BRTf1jJvPogRvtO6nw0lQMvMxI0qnl99naFE-H_wBM/811.mp3,Spots we’re avoiding in our private maps of the world.,"Fri, 29 Sep 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/811,https://www.thisamericanlife.org/811/the-one-place-i-cant-go
810,Say It to My Face,https://www.thisamericanlife.org/sites/default/files/audio/810/OobA0vUYcJlwuBh9yBDa8DeLFrLimpd9B3Hao6lYbsQ/810.mp3,Friends and ex-friends finally talk about the one thing between them they've been avoiding.,"Fri, 15 Sep 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/810,https://www.thisamericanlife.org/810/say-it-to-my-face
809,The Call,https://www.thisamericanlife.org/sites/default/files/audio/809/lwNFKQvvbjGzQbiAJ8swSkbgRAYCcNOpaKDnHb-85E0/809.mp3,One call to a very unusual hotline and everything that followed.,"Fri, 08 Sep 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/809,https://www.thisamericanlife.org/809/the-call
808,The Rest of the Story,https://www.thisamericanlife.org/sites/default/files/audio/808/6iMlXcHhfyf4lQvUijjs-J_X9F-K19VG1f3xFkfy1kA/808.mp3,"Legendary radio broadcaster Paul Harvey had a popular show called “The Rest of the Story.” Today on our show, we do just that. We hear from people who, whether they want to or not, find themselves face-to-face with the rest of their stories.","Fri, 18 Aug 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/808,https://www.thisamericanlife.org/808/the-rest-of-the-story
807,Eight Fights,https://www.thisamericanlife.org/sites/default/files/audio/807/p-OsYaVbZpqFpEDq__cNiFZbZXbKDo3bMWHEsK5HXVA/807.mp3,"Nadia's family is split between Russia and Ukraine, which is pretty common. And when Russia invaded Ukraine, it didn’t just start fighting on the battlefield. It sparked family conflict, too. An intimate story of the war from writer Masha Gessen.","Fri, 04 Aug 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/807,https://www.thisamericanlife.org/807/eight-fights
806,"I Can't Quit You, Baby",https://www.thisamericanlife.org/sites/default/files/audio/806/7Ar9aNf9MOXDnzYDFUQ7Ug-YAitbVtDoMYedVRqXcME/806.mp3,"People  on the verge of a big change, not wanting to let go. And the people who give them the final push.","Fri, 28 Jul 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/806,https://www.thisamericanlife.org/806/i-cant-quit-you-baby
805,The Florida Experiment,https://www.thisamericanlife.org/sites/default/files/audio/805/SZHQ8_I8X6COl-wmqMtnqH5kJ5DbbqyaC9rdsHtuQMU/805.mp3,Governor Ron DeSantis is running for president on the argument that he'll do for America what he's done for Florida. So what's it like in Florida?,"Fri, 14 Jul 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/805,https://www.thisamericanlife.org/805/the-florida-experiment
804,The Retrievals,https://www.thisamericanlife.org/sites/default/files/audio/804/Yax4KIrEOpemKhJ72IiDw57DgY73GFCbf71fS09OFSg/804.mp3,"At a Yale fertility clinic, dozens of women began their I.V.F. cycles full of expectation and hope. Then a surgical procedure caused them excruciating pain. In the hours that followed, some of the women called the clinic to report their pain — but most of the staff members who fielded the patients’ reports did not know the real reason for the pain, which was that a nurse at the clinic was stealing fentanyl and replacing it with saline. What happened at that clinic? What are the stories we tell about women's pain and what happens when we minimize or dismiss it?
The Retrievals, a new five-part series from Serial Productions, is hosted and reported by longtime This American Life producer and editor Susan Burton. We're excited to bring you the first episode today.","Fri, 30 Jun 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/804,https://www.thisamericanlife.org/804/the-retrievals
803,"Greetings, People Of Earth",https://www.thisamericanlife.org/sites/default/files/audio/803/CM4LlQX6APVwGlLEGpz-d_b1gK3-FgL5ZEvh30cVZI0/803.mp3,Humans encounter non-human intelligences of various kinds and try to make sense of them.,"Fri, 23 Jun 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/803,https://www.thisamericanlife.org/803/greetings-people-of-earth
802,Father's Day,https://www.thisamericanlife.org/sites/default/files/audio/802/if-EtHXYF4-QWylglOBAnz_V2sVX7D_5zvEspAfwCSQ/802.mp3,"Ira's own father, Barry Glass, co-hosts this special Father's Day show.","Fri, 16 Jun 2023 18:00:00 -0400",https://www.thisamericanlife.org/episode/802,https://www.thisamericanlife.org/802/fathers-day
