number,name,url,description,desc_url,airdate
674,Get a Spine!,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/674.mp3,"Stories of people standing up for themselves, shaking off their fear, bracing themselves, and doing what they’ve been scared to do.",https://tal.fm/674,"Sun, 12 May 2019 18:00:00 -0400"
674,Get a Spine!,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/043029ec-3638-4a6b-a863-5e55815ad4b3/674.mp3,"Stories of people standing up for themselves, shaking off their fear, bracing themselves, and doing what they’ve been scared to do.",https://tal.fm/674,"Sun, 12 May 2019 18:00:00 -0400"
674,Get a Spine!,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/674.mp3,"Stories of people standing up for themselves, shaking off their fear, bracing themselves, and doing what they’ve been scared to do.",https://tal.fm/674,"Sun, 12 May 2019 18:00:00 -0400"
172,24 Hours at the Golden Apple,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/172.mp3,"We document one day in a Chicago diner called the Golden Apple, starting at 5 a.m. and going until 5 a.m. the next morning. We hear from the waitress who has worked the graveyard shift for over two decades, the regular customers who come every day, the couples working out their problems, assorted drunks, and, of course, cops.",https://tal.fm/172,"Sun, 05 May 2019 18:00:00 -0400"
172,24 Hours at the Golden Apple,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/172.mp3,"We document one day in a Chicago diner called the Golden Apple, starting at 5 a.m. and going until 5 a.m. the next morning. We hear from the waitress who has worked the graveyard shift for over two decades, the regular customers who come every day, the couples working out their problems, assorted drunks, and, of course, cops.",https://tal.fm/172,"Sun, 05 May 2019 18:00:00 -0400"
332,The Ten Commandments,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/332.mp3,Stories of people struggling to follow the Ten Commandments from the book of Exodus.,https://tal.fm/332,"Sun, 28 Apr 2019 18:00:00 -0400"
332,The Ten Commandments,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/332.mp3,Stories of people struggling to follow the Ten Commandments from the book of Exodus.,https://tal.fm/332,"Sun, 28 Apr 2019 18:00:00 -0400"
673,Left Behind,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/673.mp3,People figuring out how to move through a world in which something important has disappeared.,https://tal.fm/673,"Sun, 21 Apr 2019 18:00:00 -0400"
673,Left Behind,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/4ce99385-4ecc-4156-b73d-a7c3ae6aba93/673.mp3,People figuring out how to move through a world in which something important has disappeared.,https://tal.fm/673,"Sun, 21 Apr 2019 18:00:00 -0400"
673,Left Behind,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/673.mp3,People figuring out how to move through a world in which something important has disappeared.,https://tal.fm/673,"Sun, 21 Apr 2019 18:00:00 -0400"
589,Tell Me I’m Fat,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/589.mp3,"The way people talk about being fat is shifting. With one-third of Americans classified as overweight, and another third as obese, and almost none of us losing weight and keeping it off, maybe it’s time to rethink the way we see being fat. A show inspired by Lindy West’s book Shrill.",https://tal.fm/589,"Sun, 14 Apr 2019 18:00:00 -0400"
589,Tell Me I’m Fat,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/589.mp3,"The way people talk about being fat is shifting. With one-third of Americans classified as overweight, and another third as obese, and almost none of us losing weight and keeping it off, maybe it’s time to rethink the way we see being fat. A show inspired by Lindy West’s book Shrill.",https://tal.fm/589,"Sun, 14 Apr 2019 18:00:00 -0400"
672,No Fair!,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/672.mp3,Stories of very small injustices and also one very big one.,https://tal.fm/672,"Sun, 07 Apr 2019 18:00:00 -0400"
672,No Fair!,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/672.mp3,Stories of very small injustices and also one very big one.,https://tal.fm/672,"Sun, 07 Apr 2019 18:00:00 -0400"
672,No Fair!,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/03682047-45ac-4c76-b41f-75f90b6502be/672.mp3,Stories of very small injustices and also one very big one.,https://tal.fm/672,"Sun, 07 Apr 2019 18:00:00 -0400"
671,Anything Can Be Anything,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/671.mp3,People connecting the dots that maybe should not be connected.,https://tal.fm/671,"Sun, 31 Mar 2019 18:00:00 -0400"
671,Anything Can Be Anything,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/671.mp3,People connecting the dots that maybe should not be connected.,https://tal.fm/671,"Sun, 31 Mar 2019 18:00:00 -0400"
671,Anything Can Be Anything,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/bdb0ab46-b60e-4801-a1fd-7deb15c3155c/671.mp3,People connecting the dots that maybe should not be connected.,https://tal.fm/671,"Sun, 31 Mar 2019 18:00:00 -0400"
616,I Am Not a Pirate,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/616.mp3,"To be, or not to be a pirate? This week, that is the question. Hold fast, mateys! We have stories about both historical and modern-day swashbucklers who loot, pillage, and question their choices.",https://tal.fm/616,"Sun, 24 Mar 2019 18:00:00 -0400"
616,I Am Not a Pirate,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/616.mp3,"To be, or not to be a pirate? This week, that is the question. Hold fast, mateys! We have stories about both historical and modern-day swashbucklers who loot, pillage, and question their choices.",https://tal.fm/616,"Sun, 24 Mar 2019 18:00:00 -0400"
670,Beware the Jabberwock,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/670.mp3,Stories from the upside-down world where conspiracy theorists dwell.,https://tal.fm/670,"Sun, 17 Mar 2019 18:00:00 -0400"
670,Beware the Jabberwock,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/670.mp3,Stories from the upside-down world where conspiracy theorists dwell.,https://tal.fm/670,"Sun, 17 Mar 2019 18:00:00 -0400"
670,Beware the Jabberwock,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/65d489b8-90d3-4c6d-b295-3b1d41b6404e/670.mp3,Stories from the upside-down world where conspiracy theorists dwell.,https://tal.fm/670,"Sun, 17 Mar 2019 18:00:00 -0400"
317,Unconditional Love,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/317.mp3,Can love be taught? A family uses a controversial therapy to train their son to love them. And other stories about the hard and sometimes painful work of loving other people.,https://tal.fm/317,"Sun, 10 Mar 2019 19:00:00 -0400"
317,Unconditional Love,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/317.mp3,Can love be taught? A family uses a controversial therapy to train their son to love them. And other stories about the hard and sometimes painful work of loving other people.,https://tal.fm/317,"Sun, 10 Mar 2019 19:00:00 -0400"
669,Scrambling to Get Off the Ice,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/669.mp3,"The Democrats on the House Judiciary Committee may have to fight to protect Mueller's investigation and make his report public. Now that they’re in the majority, they have new tools they can use. Our producer Zoe Chace spent weeks behind the scenes with them as they tried out their new powers for the first time. This and other stories of people scrambling to get their footing on some challenging terrain.",https://tal.fm/669,"Sun, 03 Mar 2019 18:00:00 -0500"
669,Scrambling to Get Off the Ice,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/669.mp3,"The Democrats on the House Judiciary Committee may have to fight to protect Mueller's investigation and make his report public. Now that they’re in the majority, they have new tools they can use. Our producer Zoe Chace spent weeks behind the scenes with them as they tried out their new powers for the first time. This and other stories of people scrambling to get their footing on some challenging terrain.",https://tal.fm/669,"Sun, 03 Mar 2019 18:00:00 -0500"
669,Scrambling to Get Off the Ice,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/b36f6a92-a5e8-471a-a56d-ce80f96ca909/669.mp3,"The Democrats on the House Judiciary Committee may have to fight to protect Mueller's investigation and make his report public. Now that they’re in the majority, they have new tools they can use. Our producer Zoe Chace spent weeks behind the scenes with them as they tried out their new powers for the first time. This and other stories of people scrambling to get their footing on some challenging terrain.",https://tal.fm/669,"Sun, 03 Mar 2019 18:00:00 -0500"
419,Petty Tyrant,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/419.mp3,"In Schenectady, New York, a school maintenance man named Steve Raucci works his way up the ranks for 30 years, until finally he's in charge of the maintenance department. That's when he starts messing with his employees. Teasing them at meetings. Punishing them with crummy work assignments. Or worse things, like secretly slashing their tires in the middle of the night.  Ten years after his arrest, Steve Raucci broke his silence and gave an interview to Paul Nelson at the Times Union in Albany.",https://tal.fm/419,"Sun, 24 Feb 2019 18:00:00 -0500"
